0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0
2,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
3,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1
4,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1
5,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1
6,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1
7,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0
8,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0
9,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0
10,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0
11,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1
12,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0
13,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1
14,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1
15,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0
16,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1
17,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1
18,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1
19,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1
20,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
