0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0,10,4,2,4,3,7,2,6,5,7,2,9,10,0,5,9,7
2,2,0,6,3,5,1,10,3,2,1,2,6,4,8,1,6,3,2
3,6,10,0,5,10,7,3,10,8,8,4,9,10,1,10,6,4,8
4,7,4,3,0,6,2,2,4,6,6,8,10,4,1,3,5,0,3
5,5,4,9,10,0,5,0,10,3,0,1,2,9,1,6,1,9,6
6,1,9,1,0,3,0,5,1,9,9,9,5,10,8,5,5,7,7
7,0,6,5,4,4,5,0,2,1,7,5,3,5,7,4,7,9,7
8,1,1,6,2,4,6,3,0,8,4,0,5,6,6,9,3,10,9
9,10,5,3,4,3,4,10,6,0,9,4,0,7,6,9,3,6,9
10,6,1,7,6,0,9,0,1,7,0,5,4,5,1,5,8,8,2
11,2,2,4,4,2,6,8,4,1,1,0,5,8,5,3,7,8,2
12,3,10,4,8,1,3,8,0,3,9,0,0,0,10,6,5,9,10
13,4,2,9,0,2,10,7,3,1,2,1,2,0,9,10,10,9,2
14,0,4,3,0,10,5,9,9,6,10,0,0,9,0,4,2,8,5
15,9,7,6,0,10,2,6,10,10,1,9,7,5,7,0,2,5,10
16,3,4,6,1,3,2,4,8,10,7,1,0,3,3,3,0,3,1
17,1,9,8,4,2,4,3,1,0,8,8,0,6,5,10,3,0,0
18,9,10,0,1,2,10,9,10,9,9,4,10,3,0,10,8,3,0
