0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,0,1,4,4,8,6,9,8,8,9,1,10,8,5,8,9,3,3,4
2,6,0,1,2,4,10,4,5,10,5,3,10,5,8,0,0,9,0,1
3,0,5,0,6,0,3,2,4,0,4,1,0,2,2,1,4,2,0,10
4,2,6,3,0,1,5,8,3,6,6,6,8,0,8,0,8,6,5,2
5,4,9,2,4,0,4,6,7,8,2,7,3,3,0,0,6,1,3,1
6,9,3,3,7,1,0,7,1,8,2,0,4,0,4,6,10,8,8,1
7,1,8,3,10,7,2,0,2,9,0,7,9,9,10,4,4,3,5,9
8,4,0,0,2,4,0,3,0,5,1,5,0,3,3,9,4,9,1,0
9,8,0,4,7,9,9,2,7,0,0,8,8,5,7,1,10,5,8,4
10,0,6,10,2,6,8,2,1,6,0,0,6,2,9,5,9,0,6,7
11,7,1,1,10,6,7,6,3,6,1,0,6,7,4,4,9,3,8,8
12,1,2,10,9,4,8,3,1,8,0,10,0,0,0,2,9,4,0,0
13,3,3,5,3,2,4,2,7,10,6,4,7,0,0,0,9,6,0,10
14,6,3,0,3,5,1,5,5,5,5,10,9,1,0,1,1,10,0,8
15,6,3,0,6,0,10,3,9,10,8,9,2,10,0,0,9,9,10,6
16,5,5,6,6,1,4,7,10,8,2,6,8,5,7,2,0,3,7,0
17,6,9,10,6,3,10,6,4,6,9,9,4,0,8,9,9,0,2,7
18,0,5,9,1,6,10,7,0,4,7,7,9,0,2,4,4,4,0,2
19,8,8,7,8,1,2,0,9,9,7,4,3,6,5,1,8,5,1,0
