0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,0,0,8,4,5,3,9,8,8,6,9,1,10,0,4,6,0
2,9,0,6,6,5,5,10,0,1,5,7,7,7,1,7,6,1
3,2,3,0,8,8,3,9,10,6,8,10,7,7,1,6,9,1
4,0,6,3,0,3,5,2,3,0,5,8,8,8,2,7,4,3
5,5,1,5,2,0,0,8,6,3,3,6,7,1,10,5,2,5
6,7,4,8,10,6,0,5,6,3,2,0,7,2,4,5,5,10
7,0,1,2,7,10,4,0,0,3,5,7,1,9,1,3,4,9
8,7,2,9,3,8,1,6,0,7,1,2,7,0,10,1,8,0
9,10,9,1,0,8,2,2,7,0,2,3,2,7,9,8,7,7
10,10,2,3,4,7,2,9,3,8,0,2,6,4,9,7,2,0
11,7,4,4,1,3,4,8,8,10,9,0,0,6,7,2,6,4
12,0,2,6,9,8,8,9,0,0,6,4,0,10,4,6,5,8
13,8,8,6,2,9,3,1,1,7,3,9,6,0,2,9,2,0
14,3,1,10,5,1,10,0,3,7,6,8,3,4,0,3,4,3
15,6,10,4,5,9,0,5,10,6,0,8,8,0,3,0,0,7
16,10,10,1,10,8,6,5,0,10,8,9,4,5,6,7,0,4
17,5,9,9,6,0,0,6,8,6,10,0,0,0,1,10,7,0
