0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1
2,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1
3,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0
4,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1
5,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
6,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1
7,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0
8,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0
9,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0
10,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1
11,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1
12,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0
13,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1
14,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0
15,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1
16,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0
17,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1
18,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1
19,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0
20,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
